date,company,ticker,price,market_cap,pe,pb,currency,ytd_return
2026-09-19,Luxshare,002475.SZ,54.1,418749120512,21.726908,4.217666,CNY,-0.0760034299
2026-09-19,HASCO,600741.SS,14.88,46912532480,6.888889,0.705046,CNY,-0.2619047506
2026-09-19,Tuopu,601689.SS,45.0,78202601472,31.034481,3.229047,CNY,-0.4156603201
2026-09-19,Baolong,603197.SS,28.97,6200322560,18.220125,1.839015,CNY,-0.237631597
2026-09-19,BTL,603596.SS,28.38,25475076096,19.175674,3.043758,CNY,-0.1930374807
2026-09-19,AUMOVIO,AMV0.F,35.9,3606838272,6.666728,0.413607,EUR,-0.1925325626
2026-09-19,NASN,2261.HK,16.64,9900538880,,-6.604627,HKD,-0.0269006422
